original_id,consensus_id
,0
cls_token1,1
cls_token2,2
 1st Precursur Intermediate to TDP 665759,3
 AS-703569 ,4
SNS-032,5
SNS-032 (BMS-387032),5
sns-032,5
SNS 032,5
SNS-032 ,5
 BMS-387032,5
Bafetinib,6
 CNS-9,6
DABRAFENIB,7
 Dabrafenib,7
Dabrafenib mesylate,7
Dabrafenib,7
GSK2118436,7
Dabrafenib (GSK2118436),7
DABRAFENIB MESYLATE,7
dabrafenib,7
Pazopanib HCl,8
Pazopanib (GW786034),8
Pazopanib hydrochloride,8
PAZOPANIB,8
 Pazopanib,8
Pazopanib,8
PAZOPANIB HYDROCHLORIDE,8
Pazopanib ,8
pazopanib,8
 ZIP-301,9
(+)-Bicuculline,10
CAMPTOTHECIN,11
Camptothecin,11
(+)-Camptothecin,11
Camptothecine (S.+),11
Cianidanol,12
(+)-Catechin Hydrate,12
(+)-Emetine dihydrochloride hydrate,13
(+)JQ1,14
(+)-JQ-1,14
(+)-JQ1,14
(-)JQ1,14
JQ-1,14
JQ1,14
(+)-Matrine,15
(+)-Nutlin-3,16
Pilocarpine nitrate,17
Pilocarpine,17
(+)-Pilocarpine hydrochloride,17
blebbistatin,18
(+/-)-BLEBBISTATIN,18
(+/-)-nutlin-3,19
(-)-Huperzine A (HupA),20
(-)-gallocatechin-3-monogallate,21
Nutlin-3a,22
Nutlin-3,22
Nutlin-3a (-),22
NUTLIN-3,22
nutlin-3,22
NUTLIN-3A (-),22
Nutlin 3a,22
(-)-nutlin-3,22
(5Z)-7-Oxozeaenol,23
(5Z)-7-OXOZEAENOL,23
(R)-(+)-Limonene,24
(R)-Duloxetine hydrochloride,25
(R)-Naproxen,26
(S)-(+)-Ketoprofen,27
(S)-Clopidogrel hydrogen sulfate,28
(S)-propranolol hydrochloride,29
(±)-Bisoprolol hemifumarate,30
Thalidomide,31
THALIDOMIDE,31
(±)-Thalidomide,31
Thalidomide  ,31
thalidomide,31
1-Azakenpaullone,32
1-Methyl-[D]-tryptophan,33
1-methyl-D-tryptophan,34
1-methyl-D-tryptophan aq,35
"10,11-Dihydrocarbamazepine",36
10-Hydroxycamptothecin,37
10058-F4,38
10074-G5,39
1074,40
1092,41
1240,42
15D-PGJ2,43
16-BETA-BROMOANDROSTERONE,44
16-beta-bromoandrosterone,45
17 alpha-propionate,46
TANESPIMYCIN,47
Tanespimycin,47
tanespimycin,47
17AAG,47
Tanespimycin ,47
17-AAG,47
17-AAG (Tanespimycin),47
"17-Beta-Estradiol-3,17-Dipropionate",48
17-DMAG,49
Alvespimycin,49
17-Methyltestosterone,50
"1S,3R-RSL-3",51
2'-Deoxyuridine,52
"2,4-dideoxy-DC-45-A2",53
2-Aminobenzenesulfonamide,54
2-Aminoethanethiol,55
2-Fluoroadenosine,56
"2-Hydroxy-5-(2,5-dihydroxybenzylamino)benzoic acid",57
2-Pyridinealdoxime methochloride,58
2-methoxyestradiol,59
2-methoxyestradiol ,59
2104,60
2150,61
2DG,62
2nd Precursur Intermediate to TDP 665759,63
Triapine,64
3-AP,64
Bromopyruvate,65
3-Bromopyruvic acid,65
3-Cl-AHPC,66
3-MA,67
3-Methyladenine,67
3-chloro-L-alanine,68
4-Aminoantipyrine,69
4-Aminopyridine,70
4-Biphenylacetic acid,71
4-Hydroxyantipyrine,72
4-Methylpyrazole,73
4-Methylumbelliferone (4-MU),74
4-hydroxytamoxifen,75
4-methylfasudil,76
4EGI-1,77
4SC-202 ,78
"5,6-dichloro-1-?-D-ribofuranosylbenzimidazole",79
5-Acetylsalicylic acid,80
Aminolevulinic acid,81
AMINOLEVULINIC ACID HYDROCHLORIDE,81
Aminolevulinic ,81
5-Aminolevulinic acid hydrochloride,81
Azacytidine,82
5-Azacitidine,82
azacitidine,82
Mylosar,82
AZACITIDINE,82
Azacitidine,82
Azacitidine  ,82
Azacytidine (Vidaza),82
5-azacytidine,82
5-Azacytidine,82
Fluorouracil,83
FLUOROURACIL,83
"Fluorouracil (5-Fluoracil, 5-FU)",83
5-fu,83
fluorouracil,83
5FU,83
5-Fluorouracil,83
5-FU,83
5fu,83
5-FLUOROURACIL,83
5-Nonyloxytryptamine oxalate,84
5-hydroxytryptophan (5-HTP),85
Aminocaproic acid,86
6-Aminocaproic acid,86
6-Mercaptopurine,87
MERCAPTOPURINE,87
Mercaptopurine (6-MP),87
6-Mercaptopurine monohydrate,87
Mercaptopurine,87
Thioguanin,88
6-Thioguanine,88
Thioguanine,88
THIOGUANINE,88
6-azauridine,89
681640,90
"7,8-Dihydroxyflavone",91
SN-38,92
sn-38,92
SN 38,92
7-Ethyl-10-hydroxycamptothecin,92
777,93
8-Azaguanin,94
Azaguanine-8,94
"8-DODECYLSULFANYL-1,3-DIMETHYL-7H-PURINE-2,6-DIONE",95
Methoxsalen,96
METHOXSALEN,96
8-Methoxypsoralen,96
8-amino-adenosine,97
8-chloro-adenosine,98
968,99
A-804598,100
A 804598,100
A-1155463,101
A-1210477,102
A-1331852,103
A-366,104
A-419259,105
"A-443654, KIN001-139",106
A-484954,107
"EEF2K INHIBITOR, A-484954",107
A-674563,108
a769662,109
A-769662,109
"A-770041, KIN001-111",110
A-83-01,111
A23187,112
Antibiotic A-23187,112
A66,113
A770041,114
A832234,115
AA-COCF3,116
MASITINIB,117
Masitinib (AB1010),117
masitinib,117
Masitinib (AB-1010),117
Masitinib,117
AB-1010,117
ABC294640,118
abiraterone,119
Abiraterone,119
ABIRATERONE,119
VENETOCLAX,120
ABT-199,120
ABT-199 (GDC-0199),120
Venetoclax,120
ABT-263 (NAVITOCLAX),121
ABT-263,121
ABT-263 (Navitoclax),121
abt263,121
Navitoclax,121
NAVITOCLAX,121
navitoclax,121
ABT-348,122
ABT737,123
ABT-737,123
ABT-737 ,123
ABT-751 (E7010),124
ABT-751,124
ABT-869,125
Linifanib,125
linifanib,125
Linifanib (ABT-869),125
LINIFANIB,125
veliparib/abt888,126
veliparib,126
Veliparib (ABT-888),126
VELIPARIB,126
ABT-888,126
abt-888,126
Veliparib,126
ABT888 hydrochloride,126
AC55649,127
AC 55649,127
AC 710,128
Quizartinib,129
quizartinib,129
QUIZARTINIB,129
Quizartinib (AC220),129
AC-220,129
BMS 599626,130
AC480,130
AC480 (BMS-599626),130
BMS-599626,130
"ACETALAX, OXYPHENISATIN ACETATE",131
ACT 058362; Palosuran,132
ACT1-013,133
Ricolinostat,134
ACY-1215,134
Rocilinostat (ACY-1215),134
Rocilinostat,134
ACY-241,135
ACY-738,136
ADP,137
ADW-742,138
NVP-ADW742,138
ADX 47273,139
sotrastaurin,140
AEB-071,140
SOTRASTAURIN,140
Sotrastaurin,140
AEE788 (NVP-AEE788),141
AEE-788 ,141
AEE788,141
NVP-AEE788,141
AEG 3482,142
AEG-40730 ,143
AEW541,144
AEW-541,144
NVP-AEW541,144
afatinib,145
AFATINIB,145
Afatinib (BIBW-2992),145
Afatinib (BIBW2992) Dimaleate,145
BIBW2992,145
Afatinib (BIBW2992),145
Afatinib,145
AFP-464,146
AG-490,147
AG-490 (Tyrphostin B42),147
AG 490,147
Rucaparib ,148
RUCAPARIB,148
PF-01367338,148
Rucaparib,148
AG-014699,148
AG014699,148
AG-1024 ,149
AG-1024,149
AG-120,150
Ivosidenib,150
AG-126,151
AG-14361,152
AG14361,152
AG-1478 (Tyrphostin AG-1478),153
AG1478,153
AG-1478,153
tyrphostin AG-1478,153
AG-18,154
AG-2037,155
AG-221 (Enasidinib),156
Enasidenib,156
AG-337;Nolatrexed dihydrochloride,157
AG-494,158
AGI-5198,159
IDH-C35,159
AGI-6780,160
AGK 2,161
AGK-2,161
AICAR,162
Acadesine,163
AICAR (Acadesine),163
"AICAR, N1-(B-D-RIBOFURANOSYL)-5-AMINOIMIDAZOLE-4-CARBOXAMIDE",163
"AKT INHIBITOR VIII, KIN001-102",164
AKT Inhibitor IV,165
AKT Inhibitor X,166
Akti-1/2,167
AKT inhibitor VIII,167
ALA hydrochloride,168
ALECTINIB,169
CH-5424802,169
Alectinib,169
Alisertib (MLN8237),170
MLN8237,170
alisertib,170
Alisertib,170
ALISERTIB,170
MLN-8237 ,170
Alisertib ,170
Allopurinol,171
ALLOPURINOL,171
BYL719,172
ALPELISIB,172
Alpelisib,172
BYL-719,172
ALPHA-BOSWELLIC ACID,173
Altretamine,174
ALTRETAMINE,174
Flavopiridol HCl,175
ALVOCIDIB,175
Flavopiridol,175
Flavopiridol (Alvocidib) hydrochloride,175
Alvocidib,175
Flavopiridol (Alvocidib),175
alvocidib,175
Alvocidib ,175
FLAVOPIRIDOL (ALVOCIDIB),175
ALW-II-49-7,176
AM 580,177
AM-580,177
Staurosporine,178
STAUROSPORINE,178
AM-2282,178
staurosporine,178
AM095,179
AM281,180
AMA404,181
AMD-070,182
AMD-473,183
AMG 337,184
AMG-337,184
AMG 925,185
AMG-925,185
AMG-208,186
AMG-232,187
"AMG-319, AMG319",188
AMG319,188
AMG-458,189
MOTESANIB,190
Motesanib,190
Motesanib ,190
AMG-706,190
Motesanib Diphosphate (AMG-706),190
Motesanib (AMG-706),190
AMG-900,191
AMIFOSTINE,192
Amifostine,192
AMPK Inhibitor,193
Dorsomorphin,193
dorsomorphin,193
COMPOUND C,193
Amuvatinib,194
MP-470,194
Amuvatinib(MP470),194
AMUVATINIB,194
Amuvatinib (MP-470),194
ANA-12,195
Anastrozole  ,196
Anastrozole,196
ANASTROZOLE,196
AP0-866,197
AP24534  Ponatinib,198
AP26113,199
AP26113 (Brigatinib),199
APABETALONE,200
RVX-208,200
APD 668,201
APD597,202
APICIDIN,203
apicidin,203
GDC-0980 (RG7422),204
GDC-0980,204
"Apitolisib (GDC-0980, RG7422)",204
"APITOLISIB, GDC0980",204
Apitolisib,204
"APO866, FK866",205
PRIMA-1MET,206
APR-246,206
Prima-1 Met,206
APTSTAT3-9R,207
OSU-03012 (AR-12),208
OSU-03012,208
Osu-03012 ,208
OSU-03012 ,208
AR-12,208
osu03012,208
AR-42,209
AR-A014418,210
AR-C155858,211
"ARA-G, 9-??-D-ARABINOFURANOSYL GUANINE",212
ARN 509,213
Apalutamide,213
ARN-509,213
TIVANTINIB,214
Tivantinib (ARQ 197),214
tivantinib,214
Tivantinib,214
ARQ-197,214
ARQ-621,215
ARQ-680,216
MEK-162,217
"Binimetinib (MEK162, ARRY-162, ARRY-438162)",217
Binimetinib,217
MEK162,217
"MEK162 (ARRY-162, ARRY-438162)",217
ARRY-162,217
ARRY-380,218
ARRY-520 (isomer B),219
Filanesib,219
FILANESIB,219
ARRY-520 (isomer A),219
ARRY380,220
Arsenic trioxide,221
Arsenic(III) oxide,221
ARSENIC TRIOXIDE,221
Arsenic Trioxide,221
ARV-825,222
AS-252424,223
as252424,223
AS 252424,223
AS-041164,224
AS-604850,225
Pimasertib,226
AS-703026,226
Pimasertib (AS-703026),226
AS601245,227
AS605240,228
"AS605240, KIN001-173",229
BMS-777607,230
ASLAN002,230
ASP 3026,231
ASP-3026,231
ASP3026,231
Tivozanib ,232
Tivozanib,232
TIVOZANIB,232
Tivozanib (AV-951),232
ASP-4130,232
tivozanib,232
LINSITINIB,233
Linsitinib,233
OSI-906 (LINSITINIB),233
ASP-7487,233
osi906,233
OSI-906,233
OSI-906 (Linsitinib),233
linsitinib,233
Allitinib,234
AST-1306,234
AST-487,235
gossypol,236
AT 101,236
AT-101; BL-193,236
Gossypol acetic acid,236
AT-101,236
GOSSYPOL,236
AT 7519  hydrochloride salt,237
AT-13148,238
AT13148,238
Onalespib,239
AT-13387 ,239
AT13387,239
AT-406,240
"AT406 (SM- 406, ARRY- 334543)",240
AT7519,241
AT7519 trifluoroacetate,241
AT-7519,241
AT-9283,242
AT9283,242
AT7867,243
ATB 346,244
All-Trans retinoic acid,245
TRETINOIN,245
ATRA,245
Tretinoin,245
tretinoin,245
NVP-AUY922,246
"Luminespib (AUY-922, NVP-AUY922)",246
AUY-922,246
NVP AUY922,246
Luminespib,246
AUY922,247
avagacestat,248
Avagacestat (BMS-708163),248
AVAGACESTAT,248
BMS-708163,248
Avagacestat,248
Spebrutinib,249
AVL-292,249
AVN-944,250
AVN944,250
AWD 131-138,251
AXITINIB,252
Axitinib (AG-013736),252
Axitinib,252
axitinib,252
AZ 20,253
AZ20,253
AZ3146,254
AZ-3146,254
AZ 3146,254
AZ628,255
AZ 628,255
AZ-628,255
AZ 960,256
AZ960,256
AZ-23,257
AZ23,257
AZ191,258
AZ505,259
AZ5104,260
AZ6102,261
saracatinib,262
AZD0530,262
AZD 0530,262
Saracatinib,262
SARACATINIB,262
AZD-0530,262
Saracatinib (AZD0530),262
OLAPARIB,263
AZD 2281,263
AZD2281,263
Olaparib ,263
Olaparib,263
Olaparib(1495) + Temozolomide(1375),263
olaparib,263
"Olaparib (AZD2281, Ku-0059436)",263
AZD-4547,264
AZD4547,264
AZD 4547,264
AZD-5363,265
Capivasertib,265
AZD 5363,265
AZD5363,265
AZD-5438,266
AZD 5438,266
AZD5438,266
Selumetinib,267
selumetinib/azd6244,267
selumetinib,267
AZD-6244,267
Selumetinib (AZD6244),267
AZD 6244,267
AZD6244,267
SELUMETINIB (AZD6244),267
SELUMETINIB,267
AZD 7762 hydrochloride,268
AZD-7762 ,268
AZD7762,268
azd7762,268
AZD 7762,268
AZD-1080,269
AZD1080,269
Barasertib,270
AZD-1152,270
BARASERTIB,270
barasertib,270
AZD1480,271
AZD-1480,271
MK-1775,272
azd1775,272
AZD1775,272
MK-1775 ,272
MK1775,272
AZD-1775,272
Adavosertib,272
MK 1775,272
mk1775,272
AZD-2014,273
AZD2014,273
Vistusertib,273
AZD-2171,274
Cediranib,274
cediranib/azd2171,274
cediranib,274
Cediranib ,274
Cediranib (AZD2171),274
CEDIRANIB,274
AZD2461,275
AZD-2461,275
AZD-2858,276
AZD2858,276
AZD-3514,277
AZD-3965 ,278
AZD3965,278
AZD6482,279
AZD-6482,279
AZD7545,280
AZD-7545,280
AZD-8055,281
AZD8055,281
AZD8186,282
AZD-8186,282
AZD-8330,283
AZD8330,283
Sapitinib,284
AZD8931,284
AZD8931 (Sapitinib),284
AZD-8931,284
AZD0156,285
AZD2811,286
AZD1152-HQPA (AZD2811),286
AZD1152-HQPA,286
Barasertib (AZD1152-HQPA),286
AZD1208,287
AZD2932,288
AZD3463,289
AZD3759,290
AZD5153,291
AZD5582,292
Azd6738,293
AZD6738,293
AZD8835,294
AZD9291,295
OSIMERTINIB,295
Osimertinib,295
Abamectin,296
Abbolactone,297
abemaciclib,298
